Code,Description
"10707","Boma Airport"
"10708","Bora Bora Motu Mute"
"10709","Bocas del Toro International"
"10710","Bordeaux Merignac"
"10711","El Dorado International"
"10712","Bournemouth Airport"
"10713","Boise Air Terminal"
"10714","Burgas Airport"
"10715","Brookings Airport"
"10716","Chhatrapati Shivaji International"
"10717","Flamingo International"
"10718","Bodo Airport"
"10719","Boku Airport"
"10720","Fontaine"
"10721","Logan International"
"10722","Bartow Municipal"
"10723","Borroloola Airport"
"10724","Bobo Dioulasso Airport"
"10725","Bislig Airport"
"10726","Sultan Aji Muhammad Sulaiman Sepinggan"
"10727","Porto Seguro Airport"
"10728","Jack Brooks Regional"
"10729","Baler Airport"
"10730","Biggin Hill"
"10731","Brunswick Golden Isles"
"10732","Rafael Hernandez"
"10733","Ignatyevo"
"10734","J. F. Mitchell"
"10735","Bartlett Cove Seaplane Base"
"10736","Pato Branco"
"10737","Barreiras Airport"
"10738","San Carlos de Bariloche Airport"
"10739","Brainerd Lakes Regional"
"10740","Bremen Airport"
"10741","Whitesburg Municipal"
"10742","Bari Airport"
"10743","Bourke Airport"
"10744","Southeast Iowa Regional"
"10745","Barquisimeto International"
"10746","Bern/Belp"
"10747","Brownsville South Padre Island International"
"10748","Turany"
"10749","Barra Airport"
"10750","Bristol Airport"
"10751","Bathurst Island Airport"
"10752","Brussels National"
"10753","Bremerhaven Airport"
"10754","Wiley Post/Will Rogers Memorial"
"10755","Barahona Habanero"
"10756","Samuels Field"
"10757","Bosaso Airport"
"10758","Presidente Juscelino Kubitschek International"
"10759","Baoshan Airport"
"10760","Bata Airport"
"10761","Mohamed Khider"
"10762","EuroAirport"
"10763","Bergstrom AFB"
"10764","Basco Airport"
"10765","Bisbee Municipal"
"10766","Basrah International"
"10767","Balsas Airport"
"10768","Basankusu Airport"
"10769","Boswell Bay Airport"
"10770","Bartletts Airport"
"10771","Bertoua Airport"
"10772","Batticaloa Airport"
"10773","Bonthe Airport"
"10774","Batu Besar Airport"
"10775","Barter Island Airport"
"10776","Sultan Iskandar Muda"
"10777","Bratsk Airport"
"10778","W K Kellogg"
"10779","Bert Mooney"
"10780","Pittsburgh Butler Regional"
"10781","Baton Rouge Metropolitan/Ryan Field"
"10782","M R Stefanik"
"10783","Bettles Airport"
"10784","Bintulu Airport"
"10785","Burlington International"
"10786","Beatty Airport"
"10787","Bursa Airport"
"10788","Buka"
"10789","Burketown Airport"
"10790","Budapest Liszt Ferenc International"
"10791","Buenos Aires Metropolitan Area"
"10792","Buffalo Niagara International"
"10793","17 de Setembro"
"10794","Bucharest Metropolitan Area"
"10795","Bulolo Airport"
"10796","Butler Memorial"
"10797","Gerardo Tobar Lopez"
"10798","Burao Airport"
"10799","J. M. Nkomo International"
"10800","Bob Hope"
"10801","Batumi Airport"
"10802","Buyo Airport"
"10803","Bella Union Airport"
"10804","Bunia Airport"
"10805","Bunbury Airport"
"10806","Bushehr Airport"
"10807","Beauvais Tille"
"10808","Atlas Brasil Cantanhede"
"10809","Beaver Inlet Seaport"
"10810","Birdsville Airport"
"10811","Bartlesville Municipal"
"10812","Beaver Island"
"10814","Batesville Regional"
"10815","Beverly Regional"
"10816","Gautam Buddha"
"10817","Brownwood Regional"
"10818","Braunschweig/Wolfsburg"
"10819","Bowling Green-Warren County Regional"
"10820","Butterworth Airport"
"10821","Baltimore/Washington International Thurgood Marshall"
"10822","Bawan Airport"
"10823","Bowman Municipal"
"10824","Brunei International"
"10825","Blaine Municipal"
"10826","Wynyard"
"10827","RAF Bentwaters"
"10828","Sheraton Inn Heliport"
"10829","Bade Airport"
"10830","Bakel Airport"
"10832","Borrego Valley"
"10833","Bancasi"
"10834","Boundary Airport"
"10835","Yacuiba Airport"
"10836","Rock Hill/York County/Bryant Field"
"10837","Johnson County"
"10838","Arkansas International"
"10839","Burley Municipal"
"10840","Bouake Airport"
"10841","Boyne Mountain"
"10842","Bantry Airport"
"10843","Bayreuth Airport"
"10844","Blakely Island Airport"
"10845","Bonanza Airport"
"10846","Philip S. W. Goldson International"
"10847","Szwederowo"
"10848","Balikesir Airport"
"10849","Bozeman Yellowstone International"
"10850","Bolzano Airport"
"10851","Beziers Vias"
"10852","Buzzards Point Seaplane Base"
"10853","Eagle Air Park"
"10854","Maya Maya"
"10856","Brize Norton Airport"
"10857","Camarillo Airport"
"10858","Bakersfield Municipal"
"10859","Koala Mine Airport"
"10860","Lake Simcoe Airport"
"10861","Thetford Mines Airport"
"10862","Pelee Island Airport"
"10863","Calgary Springbank"
"10865","Cabinda Airport"
"10866","Coronel Adalberto Mendes Da Silva"
"10867","Wexford County"
"10868","Columbia Metropolitan"
"10869","Carauari Airport"
"10870","Elmas"
"10871","Ca Mau Airport"
"10872","Cairo International"
"10873","Canaima Airport"
"10874","Akron-Canton Regional"
"10875","Campbeltown Airport"
"10876","Choreti"
"10877","Baiyun International"
"10878","Cap-Haitien International"
"10879","Caribou Municipal"
"10880","Anfa"
"10881","New Bight Airport"
"10882","Bartolomeu Lisandro"
"10883","Carlisle Airport"
"10884","Cayenne Felix Eboue"
"10885","Cobar Airport"
"10886","Corner Bay Airport"
"10887","Jorge Wilstermann International"
"10888","Greater Cumberland Regional"
"10889","Council Bluffs Municipal"
"10890","Cambridge Airport"
"10891","Bechar/Leger"
"10892","Murray"
"10893","Ciudad Bolivar Airport"
"10894","Columbus AFB"
"10895","Cotabato Airport"
"10896","Margaret Ekpo International"
"10897","Canberra Airport"
"10898","Coban Airport"
"10899","Canobie Airport"
"10900","Jardines del Rey International"
"10902","Carcassonne Salvaza"
"10903","Chile Chico Airport"
"10904","Olavo Cecco Rigon"
"10905","Calicut Airport"
"10906","Cocos Keeling Island"
"10907","Criciuma"
"10908","Chakhcharan Airport"
"10909","Carriel Sur International"
"10910","Buchanan Field"
"10911","Simon Bolivar International"
"10912","Netaji Subhash Chandra Bose International"
"10914","Caceres Airport"
"10915","Northeast Iowa Regional"
"10916","Chub Cay Airport"
"10917","Cold Bay Airport"
"10918","Cedar City Regional"
"10919","Cortina d'Ampezzo Airport"
"10920","Paris Charles de Gaulle"
"10921","Harrell Field"
"10922","Conceicao Do Araguaia Airport"
"10923","Candle 2"
"10924","Woodward Field"
"10925","Chadron Municipal"
"10926","Merle K Mudhole Smith"
"10927","Essex County"
"10928","Cessna Aircraft Field"
"10929","Mactan-Cebu International"
"10930","Jack McNamara Field"
"10931","Ceduna Airport"
"10933","Westover ARB Metropolitan"
"10934","Hawarden"
"10935","Chiang Rai Airport"
"10936","Balandino"
"10937","Cape Eleuthera Airport"
"10938","Central Airport"
"10939","Ciudad Obregon International"
"10940","Waco Kungo Airport"
"10941","Concepcion Airport"
"10942","Cannes Mandelieu"
"10943","Cherbourg Maupertus"
"10944","Cholet Le Pontreau"
"10945","Oconee County Regional"
"10946","Mettel Field"
"10947","Bob Sikes"
"10948","Chena Hot Springs Airport"
"10949","Kyle-Oakley Field"
"10950","Cortez Municipal"
"10951","Coffee Point Airport"
"10952","Cabo Frio Airport"
"10953","Clermont Ferrand Auvergne"
"10954","Jaime Gonzalez International"
"10955","Silver City Airport"
"10956","Caen Carpiquet"
"10957","Coffs Harbour Airport"
"10958","Greenlee County"
"10959","Ioannis Kapodistrias International"
"10960","Coffeyville Municipal"
"10961","Craig Seaplane Base"
"10962","Marechal Rondon International"
"10963","Cape Gloucester Airport"
"10964","Cambridge Dorchester Regional"
"10965","Cuyahoga County"
"10966","Congonhas"
"10967","Cape Girardeau Regional"
"10968","Soekarno-Hatta International"
"10969","Camiguin Airport"
"10970","Koeln Bonn"
"10971","Xinzheng"
"10972","Chittagong Airport"
"10973","Dafangshen"
"10974","Campo Grande International"
"10975","College Park Airport"
"10976","Ciudad Guayana Metropolitan Area"
"10977","Meigs Field"
"10978","Cagayan de Oro"
"10979","Casa Grande Municipal"
"10980","Lovell Field"
"10981","Christchurch International"
"10982","Chandler Municipal"
"10983","Caherciveen Reenroe"
"10984","Jinhae"
"10985","Chaoyang Airport"
"10986","Chicago Metropolitan Area"
"10987","Challis Airport"
"10988","Teniente Jaime A. de Montreuil Morales"
"10990","Charlottesville Albemarle"
"10991","Circle Hot Springs Airport"
"10992","Souda"
"10993","Chateauroux Airport"
"10994","Charleston AFB/International"
"10995","Chatham Islands Airport"
"10996","Chuathbaluk Airport"
"10997","Jiayuguan"
"10998","Changuinola 1"
